NumCidades,NumAbelhas,NumFormigas,CustoABC,TempoABC,CustoACO,TempoACO
20,20,90,4.079724,1.6509,4.083954,134.1202
20,30,10,4.079724,5.2585,4.104464,15.6761
20,30,20,4.079724,5.6564,4.100234,21.1646
20,30,30,4.079724,2.4475,4.083954,20.3909
20,30,40,4.079724,2.4503,4.083954,27.1772
20,30,50,4.079724,2.5201,4.083954,53.2718
20,30,60,4.079724,2.6852,4.083954,44.1200
20,30,70,4.079724,2.5932,4.079724,64.5715
20,30,80,4.079724,2.5391,4.079724,56.0839
20,30,90,4.079724,2.4714,4.079724,61.1096
20,40,10,4.079724,3.3013,4.083954,7.2291
20,40,20,4.079724,3.3105,4.100234,14.0511
20,40,30,4.079724,3.3693,4.083954,20.5918
20,40,40,4.079724,3.3592,4.083954,28.1602
20,40,50,4.079724,3.3254,4.083954,34.5241
20,40,60,4.079724,3.2175,4.083954,45.8037
20,40,70,4.079724,3.6227,4.079724,53.6324
20,40,80,4.079724,3.6139,4.079724,61.7030
20,40,90,4.079724,3.5642,4.079724,68.3362
20,50,10,4.079724,4.2931,4.137814,7.0509
20,50,20,4.079724,4.1927,4.100234,14.2185
20,50,30,4.079724,4.1649,4.079724,20.8250
20,50,40,4.079724,4.0898,4.083954,27.4118
20,50,50,4.079724,4.2662,4.083954,39.5501
20,50,60,4.079724,5.3877,4.079724,54.3761
20,50,70,4.079724,5.2881,4.079724,65.9663
20,50,80,4.079724,5.7120,4.079724,73.3830
20,50,90,4.079724,5.1268,4.079724,79.2446
20,60,10,4.079724,6.4156,4.100234,9.5407
20,60,20,4.079724,6.2557,4.100234,17.6643
20,60,30,4.079724,8.1844,4.100234,27.7334
20,60,40,4.079724,6.5437,4.083954,35.5247
20,60,50,4.079724,6.1720,4.083954,45.4139
20,60,60,4.079724,6.6995,4.083954,53.0713
20,60,70,4.079724,6.0861,4.083954,53.5516
20,60,80,4.079724,4.8364,4.083954,53.3383
20,60,90,4.079724,4.9727,4.083954,59.8831
20,70,10,4.079724,5.6988,4.158324,6.8162
20,70,20,4.079724,5.7479,4.100234,13.9343
20,70,30,4.079724,5.6494,4.079724,20.4371
20,70,40,4.079724,5.4985,4.079724,26.5905
20,70,50,4.079724,5.5758,4.083954,33.6270
20,70,60,4.079724,5.5771,4.083954,40.3232
20,70,70,4.079724,5.5035,4.083954,50.9566
20,70,80,4.079724,7.3070,4.083954,67.2030
